sample,B2M,CD274,CTLA4,HLA-A,HLA-B,HLA-C,PDCD1,PDCD1LG2,TAP1,TAPBP,canType
TCGA-DX-A1KZ-01A-11R-A24X-07,13.146,0.2359,0.7141,10.0443,10.6299,9.6239,1.0358,2.4365,4.3255,6.377,SARC
TCGA-DX-A1L0-01A-11R-A24X-07,12.1111,0.6055,0.1874,8.6857,8.8302,8.4155,0.2683,1.8518,4.3854,5.6298,SARC
TCGA-DX-A1L1-01A-11R-A24X-07,14.4366,2.3276,2.0951,10.9694,11.4918,10.4833,2.8639,4.3498,7.6477,7.0724,SARC
TCGA-DX-A1L2-01A-22R-A24X-07,13.2274,1.0594,0.1305,9.8224,10.3998,9.4231,0.246,2.8607,5.164,5.9329,SARC
TCGA-DX-A1L3-01A-11R-A24X-07,13.5895,1.7114,0.8415,9.8682,11.2728,9.9342,1.3438,3.6085,5.4107,6.284,SARC
TCGA-DX-A1L4-01A-12R-A26T-07,13.4039,2.7579,1.3752,10.2271,11.3928,10.3935,0.2731,4.0998,5.3528,5.9231,SARC
TCGA-DX-A23R-01A-11R-A26T-07,11.8524,1.8452,0.9532,7.8916,9.7731,8.832,0.6088,1.1681,5.4021,5.6831,SARC
TCGA-DX-A23T-01A-11R-A26T-07,12.9971,0.7142,1.6503,9.9148,11.0884,9.8631,1.322,2.9115,4.9896,6.196,SARC
TCGA-DX-A23U-01A-11R-A26T-07,12.499,0.7478,0.1915,9.3542,9.9956,9.3983,0.2093,3.5434,6.0495,5.5592,SARC
TCGA-DX-A23V-01A-11R-A29R-07,14.0853,0.9328,0.9692,10.0639,11.6403,10.2878,0.7761,2.6833,4.6052,6.2254,SARC
TCGA-DX-A23Y-01A-11R-A27Q-07,15.18,3.0026,2.5736,10.7719,12.3942,11.053,3.4604,5.8538,7.233,6.7469,SARC
TCGA-DX-A23Z-01A-11R-A27Q-07,12.7281,1.8579,0.9061,9.124,10.0665,9.1167,0.433,3.0488,5.4135,6.0032,SARC
TCGA-DX-A240-01A-32R-A27Q-07,11.6099,0.2222,0.0911,8.8118,9.367,8.987,0.0677,2.8675,3.9212,4.9384,SARC
TCGA-DX-A2IZ-01A-11R-A21T-07,11.881,0.7127,0.0379,6.6802,9.1813,7.7737,0,0.1888,3.7229,5.7534,SARC
TCGA-DX-A2J0-01A-11R-A21T-07,12.1696,1.3188,1.5855,8.6337,9.1916,8.7922,0.6116,2.1177,4.2903,6.136,SARC
TCGA-DX-A2J1-01A-11R-A21T-07,13.3561,0.5554,1.3307,10.4289,11.7872,10.2945,1.2768,2.053,4.9469,6.3654,SARC
TCGA-DX-A2J4-01A-32R-A21T-07,12.7124,2.1458,0.7839,9.5188,10.5464,9.4414,0.8877,2.5176,4.8648,6.1572,SARC
TCGA-DX-A3LS-01A-11R-A21T-07,13.1699,1.5845,1.6619,10.4155,11.0415,10.073,1.8625,3.5572,5.8167,6.6551,SARC
TCGA-DX-A3LT-01A-12R-A21T-07,13.3286,0.8282,0.4339,10.4115,11.5121,10.3904,0.8673,1.9729,5.4615,6.0183,SARC
TCGA-DX-A3LU-01A-11R-A21T-07,13.6455,1.3921,1.3753,11.4039,12.7206,11.4349,2.427,2.8438,5.8256,7.3116,SARC
TCGA-DX-A3LW-01A-21R-A21T-07,11.9922,0.3438,0.269,8.2956,9.6274,8.5185,0.1853,1.1274,4.5036,5.5638,SARC
TCGA-DX-A3LY-01B-11R-A27Q-07,13.174,0.7072,0.3588,9.1137,10.6821,9.8743,0.5226,3.0004,4.5812,6.3256,SARC
TCGA-DX-A3M1-01A-11R-A22K-07,12.9918,0.8988,0.6764,9.9369,10.6457,9.4769,0.3085,2.176,5.4179,5.7787,SARC
TCGA-DX-A3M2-01A-21R-A22K-07,13.0208,0.6545,0.6482,11.605,12.5265,11.3724,1.4775,2.3745,5.8405,7.4442,SARC
TCGA-DX-A3U5-01A-11R-A22K-07,13.6588,1.4134,0.3953,9.8893,11,9.7988,0.36,3.7259,5.035,6.326,SARC
TCGA-DX-A3U6-01A-11R-A29R-07,13.9131,1.1617,2.7324,10.8072,11.6641,10.5242,3.3101,3.377,6.0436,6.5856,SARC
TCGA-DX-A3U7-01A-11R-A29R-07,13.4706,0.8006,0.3965,9.7435,10.3921,9.551,0.3304,1.2235,6.2437,5.6214,SARC
TCGA-DX-A3U8-01A-11R-A29R-07,14.6346,1.2242,1.0857,11.379,12.3708,11.9363,1.1503,3.0547,7.1209,7.1904,SARC
TCGA-DX-A3U9-01A-11R-A30C-07,13.409,2.415,0.0606,10.4673,10.6853,10.2629,0.6597,2.6008,6.0419,5.6531,SARC
TCGA-DX-A3UA-01A-12R-A30C-07,13.0345,0.7703,1.5921,10.1359,10.6879,9.8937,0.3819,1.0023,5.8058,5.8642,SARC
TCGA-DX-A3UB-01A-11R-A30C-07,12.0366,0.7818,0.326,10.7186,10.176,9.5406,0.1528,0.5365,4.0347,5.3776,SARC
TCGA-DX-A3UC-01A-11R-A30C-07,13.064,1.7212,0.2209,8.5576,8.7797,8.0199,0.4476,2.4101,5.2687,5.9981,SARC
TCGA-DX-A3UD-01A-11R-A30C-07,13.4048,3.2532,1.3692,11.8528,11.4735,11.037,0.7748,2.7219,5.934,5.4866,SARC
TCGA-DX-A3UE-01A-11R-A30C-07,12.3659,2.1472,0.2052,9.6224,8.96,8.5182,0.0437,2.8298,4.8015,5.9097,SARC
TCGA-DX-A3UF-01A-11R-A30C-07,12.9832,2.0001,0.3735,9.1059,9.1893,8.6538,0.6404,2.9892,6.088,5.2122,SARC
TCGA-DX-A48J-01A-21R-A30C-07,12.8294,2.5684,0.4411,9.2258,9.4371,8.608,0.5009,3.1054,4.3882,4.998,SARC
TCGA-DX-A48K-01A-11R-A30C-07,12.6277,0.7964,1.9761,9.1749,9.8784,8.848,0.6689,2.4232,5.3717,5.8245,SARC
TCGA-DX-A48L-01A-11R-A30C-07,14.1185,1.3974,0.0943,10.2957,10.7078,10.1786,0.1043,2.5914,6.1549,5.9613,SARC
TCGA-DX-A48N-01A-11R-A30C-07,12.9973,0.9478,0.1195,9.3963,10.6819,9.4777,0.8096,2.6321,5.8648,5.2707,SARC
TCGA-DX-A48O-01A-11R-A30C-07,11.229,1.2087,0.2912,8.053,8.4877,6.8501,0.5717,1.7007,4.1799,4.7539,SARC
TCGA-DX-A48P-01A-11R-A30C-07,12.8246,1.807,0.9314,9.698,9.9735,9.4242,0.9872,2.8108,5.5864,6.1556,SARC
TCGA-DX-A48R-01A-11R-A30C-07,12.4839,0.8759,0.2293,8.3795,8.4353,7.9435,0.1256,2.1991,5.5557,5.4333,SARC
TCGA-DX-A48U-01A-11R-A30C-07,12.8834,2.2472,0.1027,9.7262,9.6582,9.5827,0.2023,3.3838,4.237,5.088,SARC
TCGA-DX-A6B7-01A-11R-A30C-07,12.6402,1.6265,0.376,9.5638,9.6477,8.5273,0.0839,2.5783,4.8241,5.6707,SARC
TCGA-DX-A6B8-01A-11R-A30C-07,12.2144,1.0224,0.8756,10.1586,10.5509,9.463,0.0576,1.6934,5.3749,5.5997,SARC
TCGA-DX-A6B9-01A-12R-A32Q-07,12.5215,0.798,0.0615,9.049,9.3859,9.0128,0.159,0.9517,5.0858,5.7124,SARC
TCGA-DX-A6BA-01A-11R-A30C-07,13.2854,1.1028,0.122,9.9292,10.5849,10.7074,0.5808,3.1944,6.2681,6.507,SARC
TCGA-DX-A6BB-01A-12R-A32Q-07,12.1024,0.5624,0.1392,8.6442,9.5737,8.4078,0.1236,1.5804,4.3567,4.419,SARC
TCGA-DX-A6BE-01A-41R-A32Q-07,13.6349,1.0861,2.4663,10.0468,11.2117,10.5267,2.8144,3.2559,5.7124,6.5854,SARC
TCGA-DX-A6BF-01A-11R-A30C-07,13.0888,0.8639,0.9561,10.2809,11.3871,10.1163,0.3553,2.865,4.1336,5.5742,SARC
