sample,B2M,CD274,CTLA4,HLA-A,HLA-B,HLA-C,PDCD1,PDCD1LG2,TAP1,TAPBP,canType
TCGA-OR-A5J1-01A-11R-A29S-07,10.832,0.4521,0.1959,9.2522,7.749,7.1008,0.1645,0.0453,3.0136,5.9507,ACC
TCGA-OR-A5J2-01A-11R-A29S-07,11.2278,0.6083,0.489,8.3556,8.0052,7.2979,0.5614,0.4258,3.2178,5.4138,ACC
TCGA-OR-A5J3-01A-11R-A29S-07,11.6309,0.4153,0,9.8864,9.3334,8.4964,0.059,0.1746,3.9382,5.3055,ACC
TCGA-OR-A5J5-01A-11R-A29S-07,8.1644,0.1285,0.0363,8.4402,7.9664,6.6354,0.0849,0.0783,2.4952,4.7309,ACC
TCGA-OR-A5J6-01A-31R-A29S-07,11.9671,0.4772,0.3223,9.4817,9.5053,8.4544,0.1474,0.6463,5.3385,5.5188,ACC
TCGA-OR-A5J7-01A-11R-A29S-07,11.3826,0.4572,0.0304,8.8633,8.7007,8.4119,0.1455,0.0125,4.2584,6.3322,ACC
TCGA-OR-A5J8-01A-11R-A29S-07,13.0421,1.6307,2.0494,9.7819,10.519,9.7807,1.5987,2.6588,5.5777,6.2094,ACC
TCGA-OR-A5J9-01A-11R-A29S-07,11.3839,0.0949,0.0608,8.4022,7.9562,6.9986,0.1502,0.0862,2.7062,5.3932,ACC
TCGA-OR-A5JA-01A-11R-A29S-07,13.0448,0.2989,0.0378,10.6095,11.3485,10.5852,0.1709,0.2694,5.5051,5.9071,ACC
TCGA-OR-A5JB-01A-11R-A29S-07,12.8948,3.0123,1.3685,10.4753,10.7758,10.317,1.4748,2.0894,6.939,7.2955,ACC
TCGA-OR-A5JC-01A-11R-A29S-07,12.2336,0.7545,0.0456,10.5128,10.2538,9.3278,0.0368,0.275,3.5418,5.3421,ACC
TCGA-OR-A5JD-01A-11R-A29S-07,10.6493,0.7177,0.5828,7.5401,7.5121,6.5506,0.3822,0.1296,2.5624,4.5421,ACC
TCGA-OR-A5JE-01A-11R-A29S-07,11.477,0.6184,0.0335,9.1646,9.2958,8.9571,0.2123,0.107,5.1499,5.5444,ACC
TCGA-OR-A5JF-01A-11R-A29S-07,11.1329,0.7277,0.0253,9.1248,8.3629,7.9876,0.0257,0.1741,3.454,4.8309,ACC
TCGA-OR-A5JG-01A-11R-A29S-07,11.0598,0.2157,0.0159,6.1168,7.9889,6.7673,0.1609,0.1726,3.1411,4.6405,ACC
TCGA-OR-A5JI-01A-11R-A29S-07,10.507,0.2197,0.3799,9.2962,7.8141,8.0894,0.2779,0.243,2.6151,5.2125,ACC
TCGA-OR-A5JJ-01A-11R-A29S-07,11.6205,0.3669,0.4103,8.5313,9.3664,9.3302,0.6209,0.354,4.2022,5.2428,ACC
TCGA-OR-A5JK-01A-11R-A29S-07,13.8182,1.0662,1.3594,10.7268,10.411,9.5183,2.3086,0.7054,4.4473,5.3871,ACC
TCGA-OR-A5JL-01A-11R-A29S-07,14.3052,0.7908,0.0345,11.2617,11.8071,11.0411,0.1762,0.3634,5.4962,5.8485,ACC
TCGA-OR-A5JM-01A-11R-A29S-07,11.2941,0.6968,0,7.9355,7.5111,8.479,0,0.0339,3.7726,5.8999,ACC
TCGA-OR-A5JO-01A-11R-A29S-07,13.7304,1.6863,0.3899,10.9435,11.6412,10.4143,0.5311,1.7097,5.1289,6.6144,ACC
TCGA-OR-A5JP-01A-11R-A29S-07,10.575,0.2369,0,8.1458,7.4952,7.0727,0.0255,0.1186,4.2655,4.7748,ACC
TCGA-OR-A5JQ-01A-11R-A29S-07,11.8973,0.6567,0.561,9.4203,8.8793,8.0614,0.8362,0.6177,3.8769,5.4424,ACC
TCGA-OR-A5JR-01A-11R-A29S-07,13.1229,0.8754,0.1792,9.9346,10.7892,9.488,0.1555,1.0601,3.8866,5.7037,ACC
TCGA-OR-A5JS-01A-11R-A29S-07,12.4469,0.5271,0.0519,8.5288,7.8926,8.1658,0.5937,0.0286,5.3132,6.1566,ACC
TCGA-OR-A5JT-01A-11R-A29S-07,13.3881,0.8818,0.1563,10.636,11.3099,10.3448,0.0406,0.4135,4.3547,6.3043,ACC
TCGA-OR-A5JV-01A-11R-A29S-07,13.4021,1.4647,1.1033,10.3464,10.8838,9.9934,0.7964,0.7514,4.4883,5.663,ACC
TCGA-OR-A5JW-01A-11R-A29S-07,11.4977,0.7134,0,8.9542,8.6735,8.6284,0.0635,0.2648,4.5961,5.7547,ACC
TCGA-OR-A5JX-01A-11R-A29S-07,10.5842,1.0773,0.2885,9.6997,8.7798,7.7969,0.1738,0.073,3.1251,5.6513,ACC
TCGA-OR-A5JY-01A-31R-A29S-07,13.1407,1.4947,0.3516,9.4191,9.4441,9.4566,0.4874,0.8954,6.5767,6.8935,ACC
TCGA-OR-A5JZ-01A-11R-A29S-07,14.0868,0.8848,0.1366,11.3312,11.7792,10.138,0.096,0.5703,3.7722,6.5159,ACC
TCGA-OR-A5K0-01A-11R-A29S-07,12.1246,0.677,0,8.9052,9.8359,9.2747,0.0435,0.1513,5.6081,6.7055,ACC
TCGA-OR-A5K1-01A-11R-A29S-07,12.6486,0.6114,0.121,10.3364,11.0709,9.5218,0.0576,0.3124,3.9564,5.8987,ACC
TCGA-OR-A5K2-01A-11R-A29S-07,11.1142,0.3788,0.0845,8.4587,8.2634,8.9268,0.154,0.2166,3.9052,5.4584,ACC
TCGA-OR-A5K3-01A-11R-A29S-07,11.1271,0.3648,0.1045,9.0688,8.8501,8.4583,0.2783,0.1797,2.7302,4.2688,ACC
TCGA-OR-A5K4-01A-11R-A29S-07,13.3078,1.3516,0.0275,10.0459,10.0114,9.0696,0.0484,0.1285,3.9576,6.0408,ACC
TCGA-OR-A5K5-01A-11R-A29S-07,10.9173,0.3358,0.0665,9.4275,9.1085,8.843,0.1201,0.1857,4.2993,5.4782,ACC
TCGA-OR-A5K6-01A-11R-A29S-07,11.5482,0.2895,0.0385,8.9113,8.8312,8.1776,0.0613,0.1717,4.9251,5.8497,ACC
TCGA-OR-A5K8-01A-11R-A29S-07,10.5188,0.8178,0,8.6002,8.4518,6.9056,0.0488,0.062,3.0078,4.1923,ACC
TCGA-OR-A5K9-01A-11R-A29S-07,10.1069,0.1206,0.0367,9.3341,9.1166,8.745,0.1919,0.03,3.2007,5.5613,ACC
TCGA-OR-A5KO-01A-11R-A29S-07,11.4273,0.1131,0,9.7143,9.9095,8.6078,0,0.1283,4.8008,6.1132,ACC
TCGA-OR-A5KT-01A-11R-A29S-07,12.7352,0.6695,0.0996,9.774,9.8638,9.8007,0.1258,1.2489,4.5577,5.5001,ACC
TCGA-OR-A5KU-01A-11R-A29S-07,11.6376,0.469,0.0262,8.2886,9.2126,8.4785,0.0208,0.1986,4.1863,5.5604,ACC
TCGA-OR-A5KV-01A-11R-A29S-07,11.0734,0.07,0.0793,8.9498,8.2226,8.4931,0.1501,0.0628,2.6869,5.6016,ACC
TCGA-OR-A5KW-01A-11R-A29S-07,12.4111,0.4908,0,7.937,9.2904,8.1346,0.0275,0.1549,3.8785,5.2043,ACC
TCGA-OR-A5KX-01A-11R-A29S-07,11.3784,0.1138,0.0635,9.764,10.0991,9.0957,0.0866,0.1024,4.5793,6.0896,ACC
TCGA-OR-A5KY-01A-11R-A29S-07,10.6399,0.534,0.2462,6.2505,6.7382,6.2962,0.1442,0.1742,2.1462,5.5983,ACC
TCGA-OR-A5KZ-01A-11R-A29S-07,12.3283,0.5053,0.1853,10.2773,10.0402,9.2289,0.379,0.152,5.1657,5.7218,ACC
TCGA-OR-A5L3-01A-11R-A29S-07,8.8897,0.1017,0.0416,7.7459,6.4406,6.3476,0.0167,0,2.5229,4.9137,ACC
TCGA-OR-A5L4-01A-11R-A29S-07,11.4119,0.5156,0.0822,9.2788,9.2729,8.9061,0.0163,0.3892,3.7013,5.3616,ACC
TCGA-OR-A5L5-01A-11R-A29S-07,12.5355,0.7633,0.1934,10.0318,10.7759,9.7625,0.4506,0.7343,3.9464,5.1491,ACC
TCGA-OR-A5L6-01A-11R-A29S-07,10.4199,0.4355,0.0664,10.0485,9.8976,8.9583,0.0798,0.5095,3.5713,5.3161,ACC
TCGA-OR-A5L8-01A-11R-A29S-07,10.5188,0.2242,0.0176,5.2893,6.4669,5.9669,0,0.1113,2.0704,4.6956,ACC
TCGA-OR-A5L9-01A-11R-A29S-07,9.6749,0.608,0.0254,9.2795,8.7975,6.4936,0.1358,0.1976,1.8076,4.4679,ACC
TCGA-OR-A5LA-01A-11R-A29S-07,11.6514,0.642,0.1664,9.9908,10.6016,9.1839,0.2811,0.6164,2.948,5.0396,ACC
TCGA-OR-A5LB-01A-11R-A29S-07,9.8341,0.4154,0.0399,8.9788,9.0067,8.6638,0.0159,0.2836,3.7048,4.8096,ACC
TCGA-OR-A5LC-01A-11R-A29S-07,11.8317,0.2692,0,8.5992,8.5081,8.6602,0.0183,0.2486,4.2074,5.0811,ACC
TCGA-OR-A5LD-01A-11R-A29S-07,7.3079,0.0298,0.0568,7.1292,5.3461,4.9554,0.0308,0.0466,1.1608,4.9697,ACC
TCGA-OR-A5LE-01A-11R-A29S-07,12.4394,0.6028,0,8.9534,9.5096,7.7865,0,0.0855,4.1907,4.9992,ACC
TCGA-OR-A5LG-01A-11R-A29S-07,11.1681,0.3265,0.072,9.3138,8.6817,8.5892,0.135,0.2519,3.7289,6.4808,ACC
TCGA-OR-A5LH-01A-11R-A29S-07,13.0762,1.2414,0.1116,10.9551,11.3871,9.7414,0,0.3406,5.3887,5.8377,ACC
TCGA-OR-A5LJ-01A-11R-A29S-07,11.0919,0.4076,0.6212,7.9238,7.9493,7.6722,0.6229,0.2727,3.8329,5.4252,ACC
TCGA-OR-A5LK-01A-11R-A29S-07,10.8716,0.5406,0.9232,7.7109,8.1183,7.5739,0.2968,0.6013,2.8622,5.5527,ACC
TCGA-OR-A5LL-01A-11R-A29S-07,13.3298,0.9962,0,10.2927,9.5055,9.6032,0.0534,0.2925,4.3447,6.4237,ACC
TCGA-OR-A5LM-01A-11R-A29S-07,13.3204,1.1094,0.015,10.9503,11.9077,11.1745,0.0236,0.1971,4.7672,5.6914,ACC
TCGA-OR-A5LN-01A-11R-A29S-07,11.1854,0.4972,0.2203,9.6411,9.5819,7.5677,0.2436,0.3795,2.8944,4.7473,ACC
TCGA-OR-A5LO-01A-11R-A29S-07,11.6673,0.1976,0,9.1215,8.9247,7.9362,0.0718,0.0748,2.8004,4.4299,ACC
TCGA-OR-A5LP-01A-11R-A29S-07,11.9332,0.7086,0.2109,8.9208,8.7944,8.8184,0.4256,0.5863,4.0149,5.511,ACC
TCGA-OR-A5LR-01A-11R-A29S-07,12.9606,1.078,0.0829,10.2683,10.5096,10.0802,0.55,0.2908,4.235,6.0262,ACC
TCGA-OR-A5LS-01A-11R-A29S-07,11.6859,0.9926,0.0261,6.7384,7.9804,7.7901,0.0456,0.3417,3.8918,5.0913,ACC
TCGA-OR-A5LT-01A-11R-A29S-07,11.8349,1.7402,0.0228,9.6839,8.61,8.8326,0.0407,0.108,3.8293,5.4343,ACC
TCGA-OU-A5PI-01A-12R-A29S-07,11.5684,0.4397,0.177,8.6961,8.5294,8.009,0.0603,0.2947,4.137,5.7073,ACC
TCGA-P6-A5OF-01A-11R-A29S-07,11.2745,0.58,0.0778,8.8902,8.4209,8.6616,0.0897,0.7023,3.635,5.4852,ACC
TCGA-P6-A5OG-01A-22R-A29S-07,12.4649,4.4854,1.1314,10.2086,10.6365,9.6172,1.2893,1.9849,6.3162,6.2165,ACC
TCGA-PA-A5YG-01A-11R-A29S-07,11.8285,0.8407,0.1678,8.8619,8.7684,7.8104,0.5665,0.4649,3.9731,5.5878,ACC
TCGA-PK-A5H8-01A-11R-A29S-07,11.4628,0.4108,0.0197,9.2069,9.1262,8.4228,0.1474,0.0791,3.6783,5.9353,ACC
TCGA-PK-A5H9-01A-11R-A29S-07,13.6699,1.6605,0.2797,11.4556,12.0057,10.7618,0.1582,1.1137,6.3312,6.1734,ACC
TCGA-PK-A5HA-01A-11R-A29S-07,11.7487,0.2996,0.4632,10.0674,10.4355,9.901,0.5524,0.787,3.6687,5.5126,ACC
TCGA-PK-A5HB-01A-11R-A29S-07,11.8523,1.3731,0.095,8.0761,8.291,8.063,0.2114,0.551,4.4662,6.4848,ACC
TCGA-2F-A9KO-01A-11R-A38B-07,14.1429,2.5791,2.3704,11.6176,12.2467,10.8056,1.8401,1.2498,7.938,6.9598,BLCA
TCGA-2F-A9KP-01A-11R-A38B-07,10.4078,0.5536,0.2933,8.2139,8.4522,9.4929,0.2825,0.0606,4.2474,5.8923,BLCA
TCGA-2F-A9KQ-01A-11R-A38B-07,11.1685,0.3797,0.1236,8.471,7.9232,9.1458,0.0284,0.1428,4.5014,5.9163,BLCA
TCGA-2F-A9KR-01A-11R-A38B-07,13.1584,1.0575,0.6203,10.4184,10.9134,10.3701,0.5061,0.1298,6.1519,7.1204,BLCA
TCGA-2F-A9KT-01A-11R-A38B-07,11.2416,0.3316,0.1433,7.7681,7.6473,7.7369,0.1748,0.36,4.1671,5.8025,BLCA
TCGA-2F-A9KW-01A-11R-A38B-07,12.1412,3.6977,0.6076,8.0961,9.036,10.6947,0.1089,0.9063,5.5539,5.9827,BLCA
TCGA-4Z-AA7M-01A-11R-A39I-07,10.5047,0.8436,0.3686,9.08,8.7201,9.0716,0.1829,0.3204,4.3242,6.964,BLCA
TCGA-4Z-AA7N-01A-11R-A39I-07,12.7118,2.5643,3.5595,10.0867,10.6764,9.1792,3.0898,1.6042,6.0166,6.4766,BLCA
TCGA-4Z-AA7O-01A-31R-A39I-07,13.6321,0.8777,1.2479,10.7093,11.4945,10.3131,1.3666,0.7675,6.7179,6.6565,BLCA
TCGA-4Z-AA7Q-01A-11R-A39I-07,12.6165,3.2586,2.5176,9.8354,10.8939,10.5599,2.0438,1.7517,7.4857,7.5168,BLCA
TCGA-4Z-AA7R-01A-11R-A39I-07,11.5593,0.3739,0.3046,8.7,8.7133,9.0957,0.0594,0.3794,4.2468,5.4431,BLCA
TCGA-4Z-AA7S-01A-11R-A39I-07,10.577,0.5597,0.1699,6.2761,7.4595,7.8509,0.2939,0.1566,2.8711,5.7681,BLCA
TCGA-4Z-AA7W-01A-11R-A39I-07,12.7785,3.2565,4.0974,11.8112,12.6089,11.9476,3.3274,1.8974,8.2688,8.0044,BLCA
TCGA-4Z-AA7Y-01A-11R-A39I-07,12.8011,0.7592,0.1102,9.2331,9.8651,10.2962,0.0389,0.1864,4.8433,6.2098,BLCA
TCGA-4Z-AA80-01A-11R-A39I-07,13.0975,1.4885,0.968,9.7914,10.3108,10.6173,0.5412,0.3529,6.4092,6.0552,BLCA
TCGA-4Z-AA81-01A-11R-A39I-07,13.9832,4.4474,0.9022,11.7473,12.3438,11.6747,1.2402,1.4837,8.7235,7.314,BLCA
TCGA-4Z-AA82-01A-11R-A39I-07,12.1,1.5478,0.7052,9.9405,10.3808,9.0291,0.3221,1.5443,7.1583,7.6178,BLCA
TCGA-4Z-AA83-01A-11R-A39I-07,12.7426,2.3225,1.2273,10.7528,10.5764,9.469,0.6158,0.419,5.967,6.8749,BLCA
TCGA-4Z-AA84-01A-11R-A39I-07,11.2729,2.7491,0.6122,8.1725,7.8047,7.8225,0.1969,0.8234,4.2858,5.2192,BLCA
TCGA-4Z-AA86-01A-11R-A39I-07,14.3323,3.7829,3.5445,10.9745,12.0486,10.7302,2.2838,3.8363,8.5561,7.1531,BLCA
TCGA-4Z-AA87-01A-11R-A39I-07,10.6184,3.6578,1.2969,7.3861,8.7581,9.1606,0.618,0.7708,5.0584,4.8416,BLCA
TCGA-4Z-AA89-01A-11R-A39I-07,13.0626,1.6414,0.4606,10.6404,11.3524,9.8512,0.6098,0.2769,6.0171,6.5464,BLCA
TCGA-5N-A9KI-01A-31R-A42T-07,13.5126,1.5549,0.7104,11.033,11.5977,11.2757,0.8261,0.8633,6.8206,6.8832,BLCA
TCGA-5N-A9KM-01A-11R-A42T-07,12.3615,0.5783,0.8679,9.6368,10.0433,10.0311,0.4271,0.6299,4.8822,6.4481,BLCA
TCGA-BL-A0C8-01A-11R-A277-07,9.7478,0.408,0.0747,4.6073,5.5288,6.627,0,0.2953,2.5912,3.6879,BLCA
TCGA-BL-A13I-01A-11R-A13Y-07,13.746,1.9645,1.8435,10.6545,10.7052,10.2682,1.437,2.9517,6.0807,6.6475,BLCA
TCGA-BL-A13J-01A-11R-A277-07,10.5485,1.2026,0.6325,6.3145,6.8845,6.3282,0.1226,0.722,3.1025,3.8993,BLCA
TCGA-BL-A3JM-01A-12R-A21D-07,12.1892,2.3414,3.6572,9.9137,10.2498,9.8829,1.6367,0.8175,6.6228,6.1437,BLCA
TCGA-BL-A5ZZ-01A-31R-A30C-07,12.3173,2.5906,1.9937,9.5906,9.756,9.4373,0.7764,2.2922,5.4809,5.712,BLCA
TCGA-BT-A0S7-01A-11R-A10U-07,11.1587,0.584,0.9216,8.4151,8.2204,8.2444,0.1546,0.218,3.9205,5.3302,BLCA
TCGA-BT-A0YX-01A-11R-A10U-07,12.3629,1.6857,1.9627,8.9451,9.4772,9.4778,1.1418,1.0619,5.7477,6.1208,BLCA
TCGA-BT-A20J-01A-11R-A14Y-07,12.2774,2.4474,2.0383,9.253,9.837,9.3178,1.4304,2.0046,5.7523,7.3167,BLCA
TCGA-BT-A20N-01A-11R-A14Y-07,11.4164,0.6584,0.5034,9.113,8.9794,8.885,0.198,0.5341,4.8862,5.3887,BLCA
TCGA-BT-A20O-01A-21R-A14Y-07,14.4265,3.2537,3.1708,11.0449,11.6988,11.2838,4.0147,4.0046,7.7508,7.101,BLCA
TCGA-BT-A20P-01A-11R-A14Y-07,11.8089,0.6606,0.1061,9.1299,10.0785,9.3974,0.0767,0.0882,5.0084,6.747,BLCA
TCGA-BT-A20Q-01A-11R-A14Y-07,13.6351,1.4035,1.3463,10.4828,10.9653,10.1536,1.3608,1.4555,6.6645,6.6728,BLCA
TCGA-BT-A20R-01A-12R-A16R-07,11.9766,1.3139,0.383,8.414,9.878,10.3014,0.2278,1.1791,4.9472,5.7136,BLCA
TCGA-BT-A20T-01A-11R-A14Y-07,13.657,0.9585,1.3068,10.7866,11.4983,10.5962,1.0832,0.9406,6.9693,7.054,BLCA
TCGA-BT-A20U-01A-11R-A14Y-07,12.4125,1.3025,0.7148,10.2618,9.9561,8.79,0.4999,0.8571,6.0708,6.4578,BLCA
TCGA-BT-A20V-01A-11R-A14Y-07,13.1596,5.0522,0.8498,10.1836,10.5481,9.75,0.5495,3.7854,7.2207,7.9157,BLCA
TCGA-BT-A20W-01A-21R-A14Y-07,11.8208,1.0888,1.9755,9.4859,10.2507,10.108,0.802,0.6778,5.704,5.9721,BLCA
TCGA-BT-A20X-01A-11R-A16R-07,12.3276,1.2873,0.9542,9.8458,9.8213,9.5462,0.5443,0.8963,6.0035,5.0763,BLCA
TCGA-BT-A2LA-01A-11R-A18C-07,10.4491,0.1845,0.2308,8.1753,8.8107,9.3613,0.1028,0.2483,6.1551,3.6519,BLCA
TCGA-BT-A2LB-01A-11R-A18C-07,13.0561,2.1089,1.9186,10.6057,11.2321,10.324,0.9284,0.8806,4.7662,6.7468,BLCA
TCGA-BT-A2LD-01A-12R-A20F-07,12.6777,3.9311,0.5604,10.0129,10.2186,9.7751,0.5368,2.2249,6.6354,6.6102,BLCA
TCGA-BT-A3PH-01A-11R-A220-07,11.0513,0.5343,0.2547,7.4704,7.3236,9.2414,0.1385,0.2587,3.1032,5.9247,BLCA
TCGA-BT-A3PJ-01A-21R-A220-07,13.9792,4.7493,3.2767,11.5575,12.8895,11.9836,0.976,3.4673,8.4041,8.1525,BLCA
TCGA-BT-A3PK-01A-21R-A220-07,12.532,2.7792,1.4517,10.1993,9.996,8.9788,0.7831,1.7525,6.5992,7.1217,BLCA
TCGA-BT-A42C-01A-11R-A23N-07,11.3402,0.7191,0.5682,9.4462,8.0475,9.5855,0.0753,0.0988,4.4271,6.0857,BLCA
TCGA-BT-A42E-01A-11R-A23W-07,12.2899,2.4953,2.6752,9.3515,10.4329,9.932,1.4768,1.5123,6.6434,6.9513,BLCA
TCGA-BT-A42F-01A-11R-A23W-07,12.6035,2.701,2.4814,9.2476,9.7737,9.229,1.2745,1.7239,6.6449,6.1954,BLCA
TCGA-C4-A0EZ-01A-21R-A24X-07,10.5398,0.199,0.4017,7.4545,7.6228,7.1731,0.1656,0.4973,3.4983,4.7974,BLCA
TCGA-C4-A0F0-01A-12R-A10U-07,12.7243,2.2999,0.8775,9.6813,9.8556,8.3331,0.1946,2.1186,6.3795,4.701,BLCA
TCGA-C4-A0F1-01A-11R-A034-07,12.2736,1.6721,0.6349,10.2006,10.1751,9.2148,0.2211,0.6279,6.6425,6.5163,BLCA
TCGA-C4-A0F6-01A-11R-A10U-07,11.2295,0.9524,0.7104,7.2217,8.2398,8.3563,0.2043,0.3512,4.4142,6.0482,BLCA
TCGA-C4-A0F7-01A-11R-A084-07,11.0354,0.9527,0.3337,8.5871,8.1305,8.1635,0.091,0.4298,4.6407,5.7275,BLCA
TCGA-CF-A1HR-01A-11R-A13Y-07,12.6076,0.958,0.6398,9.4583,9.542,9.74,0.3899,0.8095,5.3693,6.6162,BLCA
TCGA-CF-A1HS-01A-11R-A13Y-07,12.3484,2.4627,1.1092,9.3886,9.9082,8.9362,0.235,1.4648,6.2431,6.1221,BLCA
TCGA-CF-A27C-01A-11R-A16R-07,11.7309,1.2839,0.1543,8.6452,9.2807,8.9875,0.0602,0.0551,4.574,5.7138,BLCA
TCGA-CF-A3MF-01A-12R-A21D-07,7.4053,0.2995,0.0505,6.1634,6.0281,5.8881,0.0231,0.0171,2,4.125,BLCA
TCGA-CF-A3MG-01A-11R-A20F-07,11.7061,0.3953,0.0892,8.3195,8.3335,8.8448,0,0.0188,3.4572,5.6959,BLCA
TCGA-CF-A3MH-01A-11R-A20F-07,11.3649,0.1639,0.211,8.351,8.5789,9.13,0.01,0.0738,3.8878,5.7587,BLCA
TCGA-CF-A3MI-01A-11R-A20F-07,9.902,0.3298,0.1866,7.0467,8.0599,7.7475,0.1075,0.1334,3.0323,5.179,BLCA
TCGA-CF-A47S-01A-11R-A23W-07,11.7481,1.2908,0.4039,9.5231,9.7073,9.0957,0.3324,0.0993,5.3885,6.4532,BLCA
TCGA-CF-A47T-01A-11R-A23W-07,10.299,0.4171,0.0798,7.1287,7.8977,7.6308,0.0246,0.0223,2.9086,5.2989,BLCA
TCGA-CF-A47V-01A-11R-A23W-07,11.8183,1.2502,0.5056,10.0875,10.2095,9.4955,0.2184,0.2796,5.2206,6.5209,BLCA
TCGA-CF-A47W-01A-11R-A23W-07,10.386,0.497,0,8.8473,9.2958,7.8721,0.0201,0.0179,3.9098,5.8592,BLCA
TCGA-CF-A47X-01A-31R-A23W-07,11.6912,0.8556,0.3337,8.0218,8.5511,8.2212,0.0821,0.0853,4.7899,5.6715,BLCA
TCGA-CF-A47Y-01A-11R-A23W-07,9.9191,0.4584,0.0618,8.2773,8.7262,7.3919,0.0961,0.0508,3.2479,5.5146,BLCA
TCGA-CF-A5U8-01A-11R-A28M-07,10.6119,0.3319,0.0295,8.7317,8.4565,7.2911,0,0.0362,3.6172,5.7763,BLCA
TCGA-CF-A5UA-01A-11R-A28M-07,11.1021,0.0617,0.2343,9.1513,9.0763,8.6647,0.0742,0.0432,3.9246,6.7638,BLCA
TCGA-CF-A7I0-01A-22R-A352-07,11.1072,0.4861,0.5461,7.8548,8.1626,8.6828,0.3557,0.2164,3.6656,5.4207,BLCA
TCGA-CF-A8HX-01A-11R-A36F-07,8.5741,0.4605,0.2076,7.2671,7.3549,7.5688,0.0105,0.0635,2.6057,5.1064,BLCA
TCGA-CF-A8HY-01A-11R-A36F-07,10.626,0.1437,0.1912,8.6757,8.5813,8.1919,0.0692,0.0817,3.3619,5.6645,BLCA
TCGA-CF-A9FF-01A-11R-A38B-07,11.2117,0.7391,0.6144,8.6735,8.9494,9.1723,0.5572,0.3016,4.3086,5.4784,BLCA
TCGA-CF-A9FH-01A-11R-A38B-07,14.1781,1.9696,0.0288,11.1642,11.8162,9.9995,0.0863,0.2285,6.8571,6.5016,BLCA
TCGA-CF-A9FL-01A-11R-A38B-07,11.9883,0.3978,0.2384,8.8231,8.5598,7.664,0.1599,0.4012,3.8282,6.1725,BLCA
TCGA-CF-A9FM-01A-11R-A38B-07,12.8941,1.7407,1.1068,9.4113,9.7664,8.7763,0.3935,0.2489,5.1877,6.9612,BLCA
TCGA-CU-A0YN-01A-21R-A10U-07,12.1348,2.1364,2.0918,9.5104,9.4362,8.8356,1.0058,1.6115,5.0099,5.6742,BLCA
TCGA-CU-A0YO-01A-11R-A10U-07,13.1615,1.8996,0.9829,9.8267,10.4269,10.0727,0.6105,0.6465,6.3262,6.1716,BLCA
TCGA-CU-A0YR-01A-12R-A10U-07,12.6725,3.4241,1.4954,9.1557,9.5403,9.5468,0.793,1.7787,6.4308,6.4967,BLCA
TCGA-CU-A3KJ-01A-11R-A21D-07,13.9944,1.9509,1.8356,11.1761,11.6885,9.6801,0.3921,1.0206,6.4095,7.9062,BLCA
TCGA-CU-A3QU-01A-11R-A22U-07,12.1693,3.4287,0.0779,8.4122,10.3971,10.4106,0.0834,0.135,5.9433,6.4912,BLCA
TCGA-CU-A3YL-01A-11R-A22U-07,11.7953,0.7454,1.0699,9.6465,9.4774,9.4665,0.7207,0.2488,4.7518,6.3487,BLCA
TCGA-CU-A5W6-01A-11R-A28M-07,12.2696,0.8615,0.553,9.2708,9.2431,9.897,0.7611,0.4979,4.5144,6.1583,BLCA
TCGA-CU-A72E-01A-12R-A33J-07,10.7336,0.4475,0.326,8.0518,7.3287,7.7573,0.1458,0.4507,4.2458,5.8878,BLCA
TCGA-DK-A1A3-01A-11R-A13Y-07,12.3838,0.9074,1.2077,8.2783,9.2193,9.6049,1.2117,1.4667,4.989,6.0425,BLCA
TCGA-DK-A1A5-01A-11R-A13Y-07,14.5259,2.0236,1.2426,11.7222,12.1004,10.9057,0.654,1.6163,7.6426,7.3903,BLCA
TCGA-DK-A1A6-01A-11R-A13Y-07,13.7768,2.7652,1.4691,8.3002,9.4653,10.0724,1.6235,1.32,7.6293,6.7269,BLCA
TCGA-DK-A1A7-01A-11R-A13Y-07,9.2876,0.4613,0.4105,6.7471,7.3479,7.7422,0.2986,0.1441,2.6801,4.1687,BLCA
TCGA-DK-A1AA-01A-11R-A13Y-07,12.1043,0.528,0.3413,9.4756,8.4434,8.7178,0.1429,0.2983,4.8285,6.3744,BLCA
TCGA-DK-A1AB-01A-11R-A13Y-07,14.5557,2.069,1.294,10.6154,11.291,10.6516,1.0358,1.7526,7.0023,6.583,BLCA
TCGA-DK-A1AC-01A-11R-A13Y-07,12.2891,5.1904,2.3565,8.5617,9.5276,9.8858,1.4606,1.2695,5.9158,5.6299,BLCA
TCGA-DK-A1AD-01A-11R-A13Y-07,13.0195,0.4567,0.7052,9.6593,10.4378,10.1171,0.3269,0.4684,5.6055,5.719,BLCA
TCGA-DK-A1AE-01A-11R-A13Y-07,12.1378,1.4923,0.9284,9.2776,9.0517,8.8167,0.3067,0.5412,5.8663,5.9593,BLCA
TCGA-DK-A1AF-01A-11R-A13Y-07,13.4349,2.2682,2.0005,10.2119,10.3367,9.5354,1.5645,2.094,6.4644,6.754,BLCA
TCGA-DK-A1AG-01A-11R-A13Y-07,12.2887,0.6584,0.5224,9.6203,9.6609,8.0717,0.5862,0.1587,5.0399,6.6494,BLCA
TCGA-DK-A2HX-01A-12R-A18C-07,12.3145,0.9177,0.7416,8.451,9.4078,8.5804,0.7289,1.1471,6.109,6.3644,BLCA
