sample,weakBinder,canType
TCGA-G2-A2EC-01,3529,BLCA
TCGA-GD-A3OQ-01,936,BLCA
TCGA-GV-A3JV-01,18892,BLCA
TCGA-DK-A1A5-01,1758,BLCA
TCGA-CF-A47S-01,5963,BLCA
TCGA-FD-A43Y-01,8089,BLCA
TCGA-ZF-AA58-01,4386,BLCA
TCGA-GC-A3RB-01,2574,BLCA
TCGA-ZF-A9RF-01,10111,BLCA
TCGA-FD-A3N6-01,5495,BLCA
TCGA-XF-AAN4-01,2582,BLCA
TCGA-FD-A6TA-01,4471,BLCA
TCGA-XF-AAN8-01,2477,BLCA
TCGA-CF-A3MI-01,6680,BLCA
TCGA-DK-A1AD-01,2800,BLCA
TCGA-CF-A3MG-01,2806,BLCA
TCGA-FD-A5C0-01,3916,BLCA
TCGA-ZF-AA4T-01,11487,BLCA
TCGA-E7-A3Y1-01,23674,BLCA
TCGA-E7-A6MF-01,10823,BLCA
TCGA-C4-A0F1-01,695,BLCA
TCGA-GU-AATP-01,18825,BLCA
TCGA-BT-A2LD-01,2211,BLCA
TCGA-DK-A2I1-01,1543,BLCA
TCGA-K4-A3WU-01,11882,BLCA
TCGA-UY-A9PF-01,8270,BLCA
TCGA-YF-AA3M-01,2126,BLCA
TCGA-4Z-AA7S-01,17496,BLCA
TCGA-DK-A3IV-01,16187,BLCA
TCGA-CF-A9FL-01,6163,BLCA
TCGA-CF-A1HS-01,1104,BLCA
TCGA-KQ-A41O-01,36150,BLCA
TCGA-GU-A42Q-01,7991,BLCA
TCGA-XF-A8HG-01,18438,BLCA
TCGA-2F-A9KO-01,12262,BLCA
TCGA-CU-A3YL-01,31385,BLCA
TCGA-CU-A72E-01,2918,BLCA
TCGA-CF-A5UA-01,2443,BLCA
TCGA-FD-A3SS-01,5991,BLCA
TCGA-XF-AAMT-01,4856,BLCA
TCGA-FD-A5BV-01,8946,BLCA
TCGA-GV-A40G-01,26810,BLCA
TCGA-XF-A9SZ-01,3061,BLCA
TCGA-E7-A7PW-01,10252,BLCA
TCGA-ZF-A9RC-01,21292,BLCA
TCGA-XF-AAMW-01,4005,BLCA
TCGA-4Z-AA86-01,3144,BLCA
TCGA-XF-A8HB-01,2960,BLCA
TCGA-XF-A8HF-01,4789,BLCA
TCGA-PQ-A6FI-01,2901,BLCA
TCGA-5N-A9KI-01,2654,BLCA
TCGA-ZF-AA4N-01,11385,BLCA
TCGA-XF-AAME-01,2848,BLCA
TCGA-FJ-A3Z7-01,18072,BLCA
TCGA-FD-A5BR-01,12420,BLCA
TCGA-FJ-A3Z9-01,18452,BLCA
TCGA-FD-A6TK-01,5169,BLCA
TCGA-ZF-AA4U-01,11887,BLCA
TCGA-2F-A9KW-01,5982,BLCA
TCGA-YC-A9TC-01,9596,BLCA
TCGA-4Z-AA89-01,18153,BLCA
TCGA-GD-A3OS-01,7095,BLCA
TCGA-BT-A20V-01,1891,BLCA
TCGA-K4-A3WV-01,19455,BLCA
TCGA-FD-A3B4-01,4656,BLCA
TCGA-GU-A42P-01,28662,BLCA
TCGA-DK-AA75-01,8090,BLCA
TCGA-DK-AA6U-01,8004,BLCA
TCGA-GU-A764-01,4162,BLCA
TCGA-FD-A6TB-01,5028,BLCA
TCGA-4Z-AA7Q-01,9971,BLCA
TCGA-G2-A3VY-01,10388,BLCA
TCGA-K4-A6MB-01,8819,BLCA
TCGA-LT-A8JT-01,15939,BLCA
TCGA-ZF-AA5P-01,1917,BLCA
TCGA-E7-A541-01,11733,BLCA
TCGA-GV-A3QH-01,10913,BLCA
TCGA-FD-A6TD-01,4674,BLCA
TCGA-GU-AATO-01,3650,BLCA
TCGA-FD-A43X-01,12131,BLCA
TCGA-BT-A42C-01,16402,BLCA
TCGA-XF-AAN3-01,4554,BLCA
TCGA-KQ-A41S-01,5570,BLCA
TCGA-DK-A3WW-01,2639,BLCA
TCGA-4Z-AA83-01,31342,BLCA
TCGA-GV-A3QF-01,18037,BLCA
TCGA-K4-A54R-01,8500,BLCA
TCGA-FD-A5BZ-01,3862,BLCA
TCGA-GV-A3QI-01,4032,BLCA
TCGA-4Z-AA7R-01,15622,BLCA
TCGA-XF-A9SI-01,5636,BLCA
TCGA-ZF-A9RN-01,3580,BLCA
TCGA-DK-A3IT-01,5576,BLCA
TCGA-UY-A78L-01,2313,BLCA
TCGA-G2-A3IB-01,3037,BLCA
TCGA-BT-A20N-01,2239,BLCA
TCGA-E7-A6ME-01,4366,BLCA
TCGA-ZF-A9RL-01,18892,BLCA
TCGA-4Z-AA7Y-01,7813,BLCA
TCGA-XF-AAN5-01,3174,BLCA
TCGA-XF-AAMG-01,9077,BLCA
TCGA-K4-A6FZ-01,3417,BLCA
