HLA_list,ALL,AFR,AMR,EAS,EUR,SAS
HLA-B15:05,0.0028,NA,0.0027,NA,NA,0.012
HLA-B15:07,0.0013,NA,NA,0.0065,NA,NA
HLA-B15:08,0.0022,NA,NA,NA,NA,0.011
HLA-B15:09,2e-04,NA,NA,NA,9e-04,NA
HLA-B15:10,0.0119,0.0421,0.0013,0.0019,9e-04,NA
HLA-B15:11,0.0013,NA,NA,0.0065,NA,NA
HLA-B15:12,0.0011,NA,NA,0.0056,NA,NA
HLA-B15:15,7e-04,NA,0.0054,NA,NA,NA
HLA-B15:16,0.0043,0.0119,0.008,NA,NA,NA
HLA-B15:17,0.0063,0.0049,0.0054,9e-04,0.0057,0.0147
HLA-B15:18,0.0074,0.0021,0.0027,0.0121,0.0019,0.0184
HLA-B15:20,2e-04,NA,0.0013,NA,NA,NA
HLA-B15:21,2e-04,NA,NA,9e-04,NA,NA
HLA-B15:212,2e-04,NA,NA,NA,NA,9e-04
HLA-B15:220,7e-04,0.0021,NA,NA,NA,9e-04
HLA-B15:25,0.0037,NA,NA,0.0131,NA,0.0055
HLA-B15:27,6e-04,NA,NA,0.0028,NA,NA
HLA-B15:32,7e-04,NA,NA,NA,NA,0.0037
HLA-B15:35,4e-04,NA,0.0013,9e-04,NA,NA
HLA-B15:37,2e-04,7e-04,NA,NA,NA,NA
HLA-B15:39,2e-04,NA,0.0013,NA,NA,NA
HLA-B15:40,2e-04,NA,0.0013,NA,NA,NA
HLA-B15:52,2e-04,7e-04,NA,NA,NA,NA
HLA-B15:65,2e-04,NA,NA,9e-04,NA,NA
HLA-B18:01,0.0256,0.0309,0.0362,0.0037,0.0388,0.0203
HLA-B18:03,2e-04,7e-04,NA,NA,NA,NA
HLA-B18:05,2e-04,NA,0.0013,NA,NA,NA
HLA-B18:06,2e-04,NA,0.0013,NA,NA,NA
HLA-B27:02,6e-04,NA,NA,NA,0.0028,NA
HLA-B27:03,0.0028,0.0098,0.0013,NA,NA,NA
HLA-B27:04,0.0032,NA,NA,0.014,NA,0.0018
HLA-B27:05,0.0132,0.0021,0.0121,9e-04,0.0444,0.0101
HLA-B27:06,6e-04,NA,NA,0.0028,NA,NA
HLA-B27:07,0.0011,NA,NA,9e-04,NA,0.0046
HLA-B35:01,0.0611,0.0892,0.0563,0.0345,0.0709,0.0442
HLA-B35:02,0.0061,NA,0.0161,NA,0.0132,0.0064
HLA-B35:03,0.0199,0.0014,0.0121,0.0075,0.0227,0.0589
HLA-B35:04,6e-04,NA,0.004,NA,NA,NA
HLA-B35:05,0.0033,NA,0.0201,0.0019,NA,9e-04
HLA-B35:06,4e-04,NA,0.0027,NA,NA,NA
HLA-B35:08,0.0033,NA,0.0107,NA,0.0057,0.0037
HLA-B35:09,9e-04,NA,0.004,NA,NA,0.0018
HLA-B35:10,0.0013,7e-04,0.008,NA,NA,NA
HLA-B35:11,4e-04,NA,0.0027,NA,NA,NA
HLA-B35:12,0.0017,NA,0.0121,NA,NA,NA
HLA-B35:14,6e-04,NA,0.004,NA,NA,NA
HLA-B35:154,2e-04,NA,0.0013,NA,NA,NA
HLA-B35:17,0.0015,NA,0.0107,NA,NA,NA
HLA-B35:20,4e-04,NA,0.0027,NA,NA,NA
HLA-B35:208,2e-04,NA,0.0013,NA,NA,NA
HLA-B35:22,4e-04,NA,0.0027,NA,NA,NA
HLA-B35:41,2e-04,NA,NA,NA,9e-04,NA
HLA-B35:43,0.0033,NA,0.0241,NA,NA,NA
HLA-B37:01,0.0095,0.0014,NA,0.0065,0.0095,0.0295
HLA-B37:04,2e-04,NA,NA,NA,NA,9e-04
HLA-B38:01,0.0069,NA,0.0147,0.0047,0.0189,9e-04
HLA-B38:02,0.0095,NA,NA,0.0326,NA,0.0147
HLA-B39:01,0.0072,NA,0.004,0.0196,0.0132,9e-04
HLA-B39:02,2e-04,NA,NA,9e-04,NA,NA
HLA-B39:03,2e-04,NA,0.0013,NA,NA,NA
HLA-B39:05,0.0028,NA,0.0161,0.0028,NA,NA
HLA-B39:06,0.0043,7e-04,0.0174,NA,0.0076,9e-04
HLA-B39:08,2e-04,NA,0.0013,NA,NA,NA
HLA-B39:09,2e-04,NA,0.0013,NA,NA,NA
HLA-B39:10,0.0024,0.0091,NA,NA,NA,NA
HLA-B39:11,0.0011,NA,0.008,NA,NA,NA
HLA-B39:12,4e-04,NA,0.0027,NA,NA,NA
HLA-B39:14,2e-04,NA,0.0013,NA,NA,NA
HLA-B39:24,2e-04,7e-04,NA,NA,NA,NA
HLA-B40:01,0.0369,0.0042,0.0147,0.1054,0.0491,0.0157
HLA-B40:02,0.015,7e-04,0.0456,0.0317,0.0113,NA
HLA-B40:03,6e-04,NA,NA,0.0028,NA,NA
HLA-B40:04,0.0026,NA,0.0188,NA,NA,NA
HLA-B40:05,2e-04,NA,0.0013,NA,NA,NA
HLA-B40:06,0.0241,7e-04,NA,0.0224,9e-04,0.0958
HLA-B40:111,2e-04,NA,0.0013,NA,NA,NA
HLA-B40:12,6e-04,0.0021,NA,NA,NA,NA
HLA-B40:20,2e-04,NA,0.0013,NA,NA,NA
HLA-B40:23,4e-04,NA,NA,NA,NA,0.0018
HLA-B40:351,2e-04,NA,0.0013,NA,NA,NA
HLA-B40:46,2e-04,NA,0.0013,NA,NA,NA
HLA-B40:64,2e-04,NA,0.0013,NA,NA,NA
HLA-B41:01,0.0028,0.0028,0.0067,NA,0.0057,NA
HLA-B41:02,0.0035,0.0056,0.004,NA,0.0066,9e-04
HLA-B41:03,7e-04,0.0028,NA,NA,NA,NA
HLA-B41:04,4e-04,0.0014,NA,NA,NA,NA
HLA-B42:01,0.0152,0.0548,0.0054,NA,NA,NA
HLA-B42:02,0.0022,0.007,0.0027,NA,NA,NA
HLA-B42:08,4e-04,0.0014,NA,NA,NA,NA
HLA-B42:10,2e-04,NA,NA,NA,NA,9e-04
HLA-B44:02,0.024,0.0049,0.0282,0.0037,0.086,0.0055
HLA-B44:03,0.0551,0.0499,0.0737,0.0271,0.0614,0.0709
HLA-B44:05,7e-04,7e-04,0.0013,NA,0.0019,NA
HLA-B44:10,0.0011,0.0042,NA,NA,NA,NA
HLA-B44:27,4e-04,NA,NA,NA,0.0019,NA
HLA-B44:43,2e-04,NA,NA,NA,9e-04,NA
HLA-B44:50,2e-04,7e-04,NA,NA,NA,NA
HLA-B45:01,0.0149,0.0449,0.0134,NA,0.0057,NA
HLA-B45:07,2e-04,7e-04,NA,NA,NA,NA
HLA-B46:01,0.0312,NA,NA,0.1567,NA,NA
HLA-B47:01,0.0013,NA,0.004,NA,0.0038,NA
HLA-B47:03,4e-04,0.0014,NA,NA,NA,NA
HLA-B48:01,0.0078,7e-04,0.0268,0.0177,NA,0.0018
HLA-B48:02,2e-04,NA,0.0013,NA,NA,NA
HLA-B48:03,6e-04,NA,0.0013,0.0019,NA,NA
HLA-B48:04,0.0015,NA,NA,NA,NA,0.0074
HLA-B48:05,2e-04,7e-04,NA,NA,NA,NA
HLA-B48:08,2e-04,7e-04,NA,NA,NA,NA
HLA-B49:01,0.0149,0.0288,0.0174,NA,0.0208,0.0037
HLA-B50:01,0.0097,0.0098,0.0147,0.0028,0.0095,0.0129
HLA-B50:02,2e-04,NA,NA,NA,9e-04,NA
HLA-B51:01,0.0499,0.0197,0.0469,0.0578,0.0662,0.0681
HLA-B51:02,0.002,0.0014,0.004,0.0037,NA,0.0018
HLA-B51:06,0.0039,NA,NA,0.0019,NA,0.0175
HLA-B51:07,2e-04,NA,NA,NA,NA,9e-04
HLA-B51:08,6e-04,NA,NA,9e-04,9e-04,9e-04
HLA-B51:09,2e-04,NA,NA,NA,NA,9e-04
HLA-B51:172,2e-04,NA,NA,NA,NA,9e-04
HLA-B51:23,2e-04,NA,0.0013,NA,NA,NA
HLA-B51:83,2e-04,7e-04,NA,NA,NA,NA
HLA-B52:01,0.0342,0.0225,0.0188,0.0345,0.0038,0.0893
HLA-B52:02,2e-04,NA,0.0013,NA,NA,NA
HLA-B52:21,2e-04,NA,NA,NA,NA,9e-04
HLA-B52:27,2e-04,NA,0.0013,NA,NA,NA
HLA-B53:01,0.0455,0.1594,0.0121,NA,0.0066,0.0018
HLA-B53:04,2e-04,NA,NA,NA,NA,9e-04
HLA-B53:06,2e-04,NA,NA,NA,NA,9e-04
HLA-B54:01,0.0056,NA,NA,0.0271,NA,9e-04
HLA-B55:01,0.0087,0.0014,0.004,NA,0.0227,0.0166
HLA-B55:02,0.0048,NA,NA,0.0233,NA,9e-04
HLA-B56:01,0.0061,0.0028,0.0094,0.0075,0.0113,0.0018
HLA-B56:04,6e-04,NA,NA,0.0028,NA,NA
HLA-B57:01,0.0308,7e-04,0.0174,0.0112,0.0425,0.0875
HLA-B57:02,9e-04,0.0028,NA,NA,9e-04,NA
HLA-B57:03,0.0106,0.0337,0.0094,NA,9e-04,9e-04
HLA-B57:04,2e-04,7e-04,NA,NA,NA,NA
HLA-B58:01,0.034,0.0555,0.0067,0.0532,0.0095,0.0295
HLA-B58:02,0.0076,0.0267,0.004,NA,NA,NA
HLA-B59:01,9e-04,NA,NA,0.0047,NA,NA
HLA-B67:01,0.002,7e-04,0.0013,0.0075,9e-04,NA
HLA-B73:01,7e-04,0.0014,0.0013,9e-04,NA,NA
HLA-B78:01,0.005,0.0183,0.0013,NA,NA,NA
HLA-B78:04,2e-04,NA,0.0013,NA,NA,NA
HLA-B81:01,0.0058,0.0211,0.0013,NA,NA,NA
HLA-B81:02,2e-04,NA,NA,9e-04,NA,NA
HLA-B82:01,0.0011,0.0028,0.0027,NA,NA,NA
HLA-B82:02,4e-04,0.0014,NA,NA,NA,NA
HLA-C01:02,0.0707,0.007,0.0965,0.1968,0.0388,0.0433
HLA-C01:03,9e-04,NA,NA,0.0047,NA,NA
HLA-C01:44,4e-04,NA,NA,NA,NA,0.0018
HLA-C02:02,0.0165,0.0126,0.0201,9e-04,0.0435,0.0083
HLA-C02:10,0.0182,0.0646,0.0067,NA,9e-04,NA
HLA-C03:02,0.0275,0.0323,0.0027,0.0569,0.0038,0.0322
HLA-C03:03,0.0343,0.0049,0.0241,0.0728,0.052,0.0249
HLA-C03:04,0.065,0.0463,0.0818,0.1194,0.0728,0.0166
HLA-C03:05,0.002,7e-04,0.0134,NA,NA,NA
HLA-C03:06,2e-04,NA,0.0013,NA,NA,NA
HLA-C03:146,2e-04,NA,NA,NA,NA,9e-04
HLA-C03:243,2e-04,NA,NA,NA,NA,9e-04
HLA-C03:36,2e-04,NA,NA,9e-04,NA,NA
HLA-C03:78,2e-04,NA,0.0013,NA,NA,NA
HLA-C04:01,0.1428,0.2437,0.189,0.0373,0.1333,0.0921
HLA-C04:03,0.0059,NA,NA,0.0168,NA,0.0129
HLA-C04:04,7e-04,0.0028,NA,NA,NA,NA
HLA-C04:06,4e-04,NA,NA,0.0019,NA,NA
HLA-C04:07,2e-04,7e-04,NA,NA,NA,NA
HLA-C04:09N,6e-04,NA,NA,NA,0.0028,NA
HLA-C04:10,2e-04,NA,NA,NA,NA,9e-04
HLA-C04:13,2e-04,7e-04,NA,NA,NA,NA
HLA-C05:01,0.0317,0.0176,0.0523,0.0037,0.0879,0.0092
HLA-C05:09,2e-04,NA,0.0013,NA,NA,NA
HLA-C05:37,2e-04,NA,NA,NA,9e-04,NA
HLA-C06:02,0.0804,0.0716,0.0509,0.0354,0.0974,0.14
HLA-C06:03,2e-04,NA,NA,NA,NA,9e-04
HLA-C06:06,2e-04,NA,NA,NA,9e-04,NA
HLA-C07:01,0.0568,0.0625,0.0643,9e-04,0.1267,0.0313
HLA-C07:02,0.1094,0.0471,0.1086,0.167,0.121,0.1234
HLA-C07:04,0.0113,0.0112,0.0027,0.0075,0.0161,0.0166
HLA-C07:06,0.0154,0.0021,0.004,0.0065,NA,0.0645
HLA-C07:173,2e-04,7e-04,NA,NA,NA,NA
HLA-C07:177,2e-04,NA,NA,NA,NA,9e-04
HLA-C07:18,0.0173,0.0569,0.008,NA,0.0057,NA
HLA-C07:26,7e-04,NA,NA,NA,NA,0.0037
HLA-C07:28,2e-04,7e-04,NA,NA,NA,NA
HLA-C07:457,2e-04,NA,NA,NA,NA,9e-04
HLA-C07:74,2e-04,NA,0.0013,NA,NA,NA
HLA-C08:01,0.0301,NA,0.0268,0.0877,NA,0.0442
HLA-C08:02,0.0197,0.0239,0.0563,9e-04,0.0274,NA
HLA-C08:03,0.0024,NA,0.0067,0.0065,NA,9e-04
HLA-C08:04,0.0061,0.0225,0.0013,NA,NA,NA
HLA-C08:148,2e-04,NA,NA,NA,NA,9e-04
HLA-C08:16,2e-04,NA,NA,NA,NA,9e-04
HLA-C08:22,6e-04,NA,NA,0.0028,NA,NA
HLA-C12:02,0.0329,0.0014,0.0094,0.0466,0.0038,0.105
HLA-C12:03,0.0284,0.0112,0.0308,0.0159,0.0491,0.0414
HLA-C12:04,0.0011,NA,NA,NA,NA,0.0055
HLA-C12:05,2e-04,NA,NA,NA,NA,9e-04
HLA-C12:19,2e-04,7e-04,NA,NA,NA,NA
HLA-C14:02,0.0247,0.0098,0.0094,0.0494,0.0217,0.0331
HLA-C14:03,0.0039,0.0014,0.0013,0.0168,NA,NA
HLA-C14:12,2e-04,NA,NA,NA,NA,9e-04
